Date, Close/Last, Volume, Open, High, Low
2019-02-28,56.04,15238700,53.89,56.96,53.68
2019-02-27,53.85,5566340,53.49,54.2,53.31
2019-02-26,53.69,5603782,53.96,54.63,53.665
2019-02-25,53.96,5650617,53.91,54.2,53.6
2019-02-22,53.62,4568445,54.13,54.39,53.47
2019-02-21,54.31,4843125,54.2,54.75,54.05
2019-02-20,54.41,11839380,55.04,55.39,54.18
2019-02-19,57.67,5656280,57.35,58.16,56.66
2019-02-15,57.7,4988921,58.5,58.6,57.64
2019-02-14,58.0,5013439,57.61,58.49,57.15
2019-02-13,58.0,3819552,57.97,58.57,57.805
2019-02-12,57.7,3612789,58.28,58.74,57.51
2019-02-11,58.28,3969959,58.07,58.44,57.6
2019-02-08,57.65,3151207,56.97,57.65,56.81
2019-02-07,57.48,3111797,57.17,57.67,57.12
2019-02-06,57.61,5305630,57.55,57.72,56.64
2019-02-05,57.88,4830016,58.5,58.77,57.53
2019-02-04,58.29,4424451,57.2,58.31,57.145
2019-02-01,57.13,3512883,56.99,58.0,56.91
2019-01-31,56.76,4658754,57.49,57.64,56.405
2019-01-30,57.49,6665636,56.66,57.815,56.58
2019-01-29,56.37,5231187,55.65,56.54,55.38
2019-01-28,55.52,5070352,54.89,55.955,54.89
2019-01-25,54.98,7351844,55.0,55.69,54.05
2019-01-24,54.21,10999820,53.75,54.87,52.72
2019-01-23,51.02,4717600,50.88,51.31,50.06
2019-01-22,50.54,4141014,51.25,51.535,50.24
2019-01-18,51.57,3236222,50.91,51.58,50.6
2019-01-17,50.59,3231126,49.74,50.9328,49.62
2019-01-16,49.78,4609120,50.36,50.73,49.75
2019-01-15,49.61,4408393,49.01,50.02,48.86
2019-01-14,48.76,3907551,48.18,49.29,47.7
2019-01-11,48.52,3555028,48.65,48.86,47.85
2019-01-10,48.99,5414755,47.49,49.03,46.9
2019-01-09,49.08,3489347,47.63,49.265,47.57
2019-01-08,47.54,4449711,48.5,48.59,47.21
2019-01-07,47.87,5068208,47.84,48.26,47.1696
